,지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec),time_group,date_group
0,184,2019-10-15 05:00:00,16.4,0.0,26.1,4.6,1024.1,1026.6,55.9,0.0,0.0,05시,15일
1,184,2019-10-15 05:01:00,16.4,0.0,19.3,2.4,1024.1,1026.6,55.5,0.0,0.0,05시,15일
2,184,2019-10-15 05:02:00,16.4,0.0,0.8,4.8,1024.1,1026.6,55.8,0.0,0.0,05시,15일
3,184,2019-10-15 05:03:00,16.3,0.0,354.9,3.8,1024.1,1026.6,56.4,0.0,0.0,05시,15일
4,184,2019-10-15 05:04:00,16.3,0.0,1.8,4.5,1024.1,1026.6,56.2,0.0,0.0,05시,15일
5,184,2019-10-15 05:05:00,16.3,0.0,348.5,5.3,1024.1,1026.6,56.6,0.0,0.0,05시,15일
6,184,2019-10-15 05:06:00,16.4,0.0,359.9,4.3,1024.1,1026.6,56.3,0.0,0.0,05시,15일
7,184,2019-10-15 05:07:00,16.4,0.0,355.2,4.3,1024.1,1026.6,56.7,0.0,0.0,05시,15일
8,184,2019-10-15 05:08:00,16.4,0.0,352.2,4.0,1024.2,1026.7,57.4,0.0,0.0,05시,15일
9,184,2019-10-15 05:09:00,16.5,0.0,339.0,1.4,1024.2,1026.7,57.3,0.0,0.0,05시,15일
10,184,2019-10-15 05:10:00,16.4,0.0,263.2,2.2,1024.2,1026.7,56.3,0.0,0.0,05시,15일
11,184,2019-10-15 05:11:00,16.4,0.0,227.1,1.2,1024.1,1026.6,55.9,0.0,0.0,05시,15일
12,184,2019-10-15 05:12:00,16.3,0.0,315.8,2.1,1024.2,1026.7,55.5,0.0,0.0,05시,15일
13,184,2019-10-15 05:13:00,16.4,0.0,338.1,1.6,1024.2,1026.7,56.4,0.0,0.0,05시,15일
14,184,2019-10-15 05:14:00,16.3,0.0,346.5,3.2,1024.2,1026.7,58.0,0.0,0.0,05시,15일
15,184,2019-10-15 05:15:00,16.3,0.0,10.3,1.6,1024.2,1026.7,58.1,0.0,0.0,05시,15일
16,184,2019-10-15 05:16:00,16.3,0.0,348.5,1.4,1024.2,1026.7,58.1,0.0,0.0,05시,15일
17,184,2019-10-15 05:17:00,16.2,0.0,349.5,4.4,1024.2,1026.7,58.7,0.0,0.0,05시,15일
18,184,2019-10-15 05:18:00,16.3,0.0,9.9,4.7,1024.2,1026.7,58.6,0.0,0.0,05시,15일
19,184,2019-10-15 05:19:00,16.4,0.0,1.1,2.8,1024.2,1026.7,58.9,0.0,0.0,05시,15일
20,184,2019-10-15 05:20:00,16.4,0.0,359.6,2.9,1024.2,1026.7,58.6,0.0,0.0,05시,15일
21,184,2019-10-15 05:21:00,16.3,0.0,3.4,3.7,1024.2,1026.7,58.4,0.0,0.0,05시,15일
22,184,2019-10-15 05:22:00,16.3,0.0,11.0,4.1,1024.2,1026.7,58.5,0.0,0.0,05시,15일
23,184,2019-10-15 05:23:00,16.4,0.0,18.7,4.1,1024.2,1026.7,57.4,0.0,0.0,05시,15일
24,184,2019-10-15 05:24:00,16.4,0.0,20.8,3.3,1024.2,1026.7,56.9,0.0,0.0,05시,15일
25,184,2019-10-15 05:25:00,16.4,0.0,0.5,3.6,1024.2,1026.7,57.1,0.0,0.0,05시,15일
26,184,2019-10-15 05:26:00,16.4,0.0,0.5,2.9,1024.2,1026.7,57.6,0.0,0.0,05시,15일
27,184,2019-10-15 05:27:00,16.4,0.0,343.8,3.7,1024.2,1026.7,58.2,0.0,0.0,05시,15일
